URL,Product Name,Brand Name,Price,Category,Image URL,Description
https://www.hamleys.in/product/shooting-star-bee-staker-honey-bee-multicolour-3y-492407812,Product name not found,Shooting Star,899,Toys & Games,https://cdn.pixelspray.io/v2/black-bread-289bfa/HrdP6X/original/hamleys-product/492407812/300/492407812-1.jpeg,"These wooden stacking rings challenges your kid to play carefully and move precisely He/she will develop fine motor skills as they build the colourful stacking rings  This educational hand: eye coordination toy is made of all natural woods and high quality paints and is BPA free, non-toxic and child safe  This wooden ring stacker features brightly coloured and smoothly sanded pieces that helps in building your little one's early colour, shape size-differentiation skills
Encourages baby to arrange largest ring to smallest ring in order
They'll develop logic and problem solving skills by playing and discovering the best ways to stack the ring"
https://www.hamleys.in/product/youreka-crystal-making-lab-multicolour-3y-492407797,Product name not found,Youreka,999,Toys & Games,https://cdn.pixelspray.io/v2/black-bread-289bfa/HrdP6X/original/hamleys-product/492407797/300/492407797-1.jpeg,"Show off your 5 favourite home-grown crystals on the included light-up display
Easy-to-follow instructions and 4 silicone growing chambers make growing and saving your crystals easy
Includes 5 real gemstone specimens and a STEM learning guide teaching all about crystal formation"
https://www.hamleys.in/product/wooden-slate-491948674,Buy Desi Toys Wooden Slate in Red - Hamleys,Folktales,539,Toys & Games,https://cdn.pixelspray.io/v2/black-bread-289bfa/HrdP6X/original/hamleys-product/491948674/300/491948674-1.webp,"Desi Toys Slate is a flat MDF base which is used as a medium for writing. This slate of 9 inches x 11 inches is encased in a beautiful border design frame. The Slate board comes with slate pencils, slate pencil box and a slate duster. Kids can enhance their imagination, improve fine motor skills and show their creativity with fun and excitement by writing/drawing endless times on this durable slate."
https://www.hamleys.in/product/kingdom-of-play-make-up-set-8-piece-multicolour-3y-492407810,Product name not found,Kingdom Of Play,699,Toys & Games,https://cdn.pixelspray.io/v2/black-bread-289bfa/HrdP6X/original/hamleys-product/492407810/300/492407810-1.jpeg,"This beauty set by Saffire Toys is a fun item to spend hours. Your little girl can practice combing her hair with this beauty set. The set consists of a hair dryer, comb, mirror, lipstick, earrings, shadow colors and other accessories."
https://www.hamleys.in/product/pj-masks-3-in-1-combo-puzzle-cardboard-multicolour-3y-491898717,Product name not found,PJ Masks,275,Toys & Games,https://cdn.pixelspray.io/v2/black-bread-289bfa/HrdP6X/original/hamleys-product/491898717/300/491898717-1.jpeg,"It's time to be a hero! Pj Masks is a team of three superheroes cat boy, owlette and gekko who swoop into action at night  Solving mysteries that arise during the day and on a mission to make things right for everyone in the daytime worlds.  Keeps your child entertained for hours of fun."
https://www.hamleys.in/product/jungle-memory-card-game-491901779,Shop Desi Toys Jungle Memory Card Game for Kids age 3Y+ - 1.27 Cm (Green),Folktales,299,Toys & Games,https://cdn.pixelspray.io/v2/black-bread-289bfa/HrdP6X/original/hamleys-product/491901779/300/491901779-1.webp,"The Jungle Memory Game is a card game with 'Incredible India' theme of birds and animals. It is a wonderful family game for kids above 3 years to sharpen memory, increase concentration and improve visual recognition. Just flip, memorize and match. Player with maximum matches is the winner."
https://www.hamleys.in/product/giggles-kitchen-set-deluxe-multi-color-491374001,"Shop Giggles Kitchen Set Deluxe, Multi Color & Appliances for Kids age 3Y+",Giggles,854,Toys & Games,https://cdn.pixelspray.io/v2/black-bread-289bfa/HrdP6X/original/hamleys-product/491374001/300/491374001-1.webp,"Funskool has the recipe for imaginative play with the kitchen sets, a 19-piece kitchen set for children. Made with high quality plastic--just like real cookware--this charming set provides the essentials for aspiring cooks, bakers and entertainers. Kids aged 3+ will love whipping up their own pretend meals and even preparing food on a real stove. Play chef with realistic kitchen set: this 19-piece set feature a kitchen collection. The pieces are small--just the right size for kids' hands. Kitchen set deluxe includes a mixer grinder, gas stove, chopping board, frying pan, tawa, spatula, ladle, rice cooker, plates, spoons and knife, all made of hi quality plastic. Ideal for educational and pretend play these play kitchen tools will engage children in hours of pretend play, while also allowing parents to stir up some educational fun. Help kids practice measurement and counting with the measuring cup and spoons or use the set as a way to teach children about the importance of food and nutrition. What's in the box kitchen set deluxe contains: mixer grinder base with jar, lid and rotating blade x 1 no. Each stove top with 2 burner frames x 1 no chopping board x 1 frying pan x 1 Nottaway x 1 spatula x 1 ladle x 1 cooker unit with lid x 1 plates x 2 spoons x 2 knife x 2 sticker sheet."
https://www.hamleys.in/product/funskool-lunar-combat-plastic-multicolour-3y-491020665,Product name not found,Funskool,649,Toys & Games,https://cdn.pixelspray.io/v2/black-bread-289bfa/HrdP6X/original/hamleys-product/491020665/300/491020665-1.jpeg,"This is Kenner rocket pack Batman action figure with firing turbo thrust cannon from the adventures of Batman and robin animated series  the rocket pack Batman figure was wearing a bright yellow bat suit  it's like Batman telling all the villains of Gotham city beware - you can run, but you can't hide from justice."
https://www.hamleys.in/product/peacock-kinder-blocks-sweet-home-490578431,Buy Hamleys Peacock Kinder Sweet Home Generic Blocks Plastic Online,Peacock Toys,850,Toys & Games,https://cdn.pixelspray.io/v2/black-bread-289bfa/HrdP6X/original/hamleys-product/490578431/300/490578431-1.webp,Kinder Blocks Home Sweet Home Helps The Child To Think Creatively. The Colours Attract The Attention And Stimulate The Child'S Mind. The Child Starts Making His Own Designs
https://www.hamleys.in/product/fundough-tiffin-box-3y-491960667,"Shop Online FunDough Tiffin box, 3Y+ at Best Price",FUN DOUGH,499,School & Travel,https://cdn.pixelspray.io/v2/black-bread-289bfa/HrdP6X/original/hamleys-product/491960667/300/491960667.webp,Let your child enjoy and explore with this creative crafting dough set. The toy set features different coloured clay doughs that can be moulded into various shapes. The clay used is non-toxic and safe for children to play with
